PartNr;EntityNr;ClientPartNr;projectID;
91G004702;Minor;A2045405606;MB;
91G004802;Minor;A2045405706;MB;
91G004902;Minor;A2045401307;MB;
91G005002;Minor;A2045409806;MB;
91G006801;Minor;A2045402410;MB;
91G006901;Minor;A2045402710;MB;
91G007001;Minor;A2045409633;MB;
91G007302;Minor;A2045400510;MB;
91G007601;Minor;A2045408809;MB;
91G008301;Minor;A2045409535;MB;
91G008401;Minor;A2044400305;MB;
91G008601;Minor;A2045401906;MB;
91G008602;Minor;A2045401906;MB;
91G008603;Minor;A2045401906;MB;
91G008604;Minor;A2045401906;MB;
91G008605;Minor;A2045401906;MB;
91G008606;Minor;A2045401906;MB;
91G011302;Minor;A2044407706;MB;
91G011401;Minor;A2045406810;MB;
91G011402;Minor;A2045406810;MB;
91G011403;Minor;A2045406810;MB;
91G011404;Minor;A2045406810;MB;
91G011405;Minor;A2045406810;MB;
91G011406;Minor;A2045406810;MB;
91G012302;Minor;A2044408608;MB;
91G013501;Minor;A2045402210;MB;
91G013601;Minor;A2045402610;MB;
91G013701;Minor;A2045401710;MB;
91G013802;Minor;A2045400410;MB;
91G013904;MOTOR;A2711505233;MB;
91G014801;MOTOR;A2711508133;MB;
91G014901;MOTOR;A2711501420;MB;
91G015001;Minor;A2045405933;MB;
91G015502;MOTOR;A2721500120;MB;
91G019001;Minor;A2044405935;MB;
91G019101;Minor;A2044406135;MB;
91G019201;Minor;A2044405835;MB;
91G020402;Minor;A2044408641;MB;
91G020501;Minor;A2044408541;MB;
91G022001;Motor;A2711502220;MB;
91G100101;NCV2 Minor;A6365401505;MB;
91G100201;NCV2 Minor;A6365401605;MB;
91G100301;NCV2 Minor;A6365401705;MB;
91G100401;NCV2 Minor;A6365401805;MB;
91G100501;NCV2 Minor;A6365402005;MB;
91G100601;NCV2 Minor;A6365402105;MB;
91G100703;NCV2 Minor;A6365402205;MB;
91G100801;NCV2 Minor;A6365403805;MB;
91G100901;NCV2 Minor;A6365403905;MB;
91G101001;NCV2 Minor;A6365404005;MB;
91G101103;NCV2 Minor;A6365404105;MB;
91G102901;NCV2 Minor;A6365400030;MB;
91G103001;NCV2 Minor;A6365400031;MB;
91G103102;NCV2 Minor;A6365404006;MB;
91G104202;NCV2 Minor;A6365400041;MB;
91G104301;NCV2 Minor;A6365400307;MB;
91G104402;NCV2 Minor;A6365403605;MB;
91G104502;NCV2 Minor;A6365401405;MB;
91G104601;NCV2 Minor;A6365400207;MB;
91G104702;NCV2 COC;A6365402507;MB;
91G104803;NCV2 COC;A6365402607;MB;
91G104903;NCV2 COC;A6365402707;MB;
91G105205;NCV2 INR;A6365401507;MB;
91G105306;NCV2 INR;A6365401607;MB;
91G105407;NCV2 INR;A6365401707;MB;
91G105902;NCV2 MRA;A6365400507;MB;
91G106002;NCV2 MRA;A6365400607;MB;
91G106101;NCV2 Minor;A6364400009;MB;
91G106202;NCV2 Minor;A6365400407;MB;
91G106301;NCV2 Minor;A6365403807;MB;
91G106401;NCV2 Minor;A6365403907;MB;
91G106701;NCV2 Minor;A6365404507;MB;
91G106801;NCV2 COC;A6365404807;MB;
91G106901;NCV2 INR;A6365404907;MB;
91G107001;NCV2 INR;A6365404707;MB;
91G107101;NCV2 MRA;A6365405007;MB;
91G107301;NCV2 Minor;A6365404607;MB;
91G107601;NCV2 MRA;A6365405207;MB;
91G107701;NCV2 MRA;A6365405507;MB;
91G107801;NCV2 MRA;A6365405607;MB;
91G107901;NCV2 COC;A6365405907;MB;
91G108001;NCV2 COC;A6365405807;MB;
91G108101;NCV2 COC;A6365405707;MB;
91G108201;NCV2 COC;A6365405307;MB;
91G108301;NCV2 INR;A6365405407;MB;
91G108401;NCV2 INR;A6365406007;MB;
91G108501;NCV2 INR;A6365406107;MB;
91G108601;NCV2 INR;A6365406207;MB;
91G108701;NCV2 INR;A6365406307;MB;
91G108801;NCV2 INR;A6365406407;MB;
91G108901;NCV2 INR;A6365406507;MB;
91G109001;NCV2 COC;A6365406707;MB;
91G109101;NCV2 COC;A6365406807;MB;
91G109301;NCV2 INR;A6365406907;MB;
91G109401;NCV2 INR;A6365404000;MB;
91G109901;NCV2 COC;A6365404200;MB;
91G110001;NCV2 INR;A6365404300;MB;
91G110101;NCV2 INR;A6365404400;MB;
91G110201;NCV2 MRA;A6365404100;MB;
91G200202;Minor;A2125409810;MB;
91G200203;Minor;A2125409810;MB;
91G200403;Minor;A2125407105;MB;
91G200502;Minor;A2125400432;MB;
91G200503;Minor;A2125400432;MB;
91G201102;Minor;A2128208104;MB;
91G201103;Minor;A2128208104;MB;
91G201104;Minor;A2128208104;MB;
91G201202;Minor;A2128207704;MB;
91G201203;Minor;A2128207704;MB;
91G201204;Minor;A2128207704;MB;
91G201302;Minor;A2128205404;MB;
91G201701;Minor;A2125401809;MB;
91G205202;Minor;A2125408535;MB;
91G205502;Minor;A2125403832;MB;
91G206901;Minor;A2128203313;MB;
91G207402;MOTOR;A2711504733;MB;
91G208002;Minor;A2124409108;MB;
91G208102;Minor;A2124409308;MB;
91G213902;Minor;A2124405733;MB;
91G214002;Minor;A2124406233;MB;
91G214102;Minor;A2124406333;MB;
91G214202;Minor;A2124406533;MB;
91G214302;Minor;A2124406433;MB;
91G216401;Minor;A2128203413;MB;
91G216601;Minor;A2124404032;MB;
91G217301;Minor;A2124407539;MB;
91G217401;Minor;A2124407639;MB;
91G217501;Minor;A2124406237;MB;
91G217601;Minor;A2124406337;MB;
91G217701;Minor;A2124409208;MB;
91G217801;Minor;A2124409408;MB;
91G218202;Minor;A2124402240;MB;
91G219002;MRA;MRA E260 M271 AVA;MB;
91G219003;MRA;MRA E260 M271 AVA;MB;
91G220301;RBA AEJ11/1 D-s E-CLASS;RBA E300 M272 AVA;MB;
91G220401;RBA AEJ11/1 D-s E-CLASS;A2124405141;MB;
91G220501;RBA AEJ11/1 D-s E-CLASS;RBA E300 M272 AVA High Lux;MB;
91G221201;RBA AEJ11/1 D-s E-CLASS;RBA E260 M271 ELE Entry;MB;
91G221301;RBA AEJ11/1 D-s E-CLASS;RBA E260 M271 AVA;MB;
91G221401;RBA AEJ11/1 D-s E-CLASS;RBA E260 M271 ELE;MB;
91G221501;RBA AEJ11/1 D-s E-CLASS;A2124401053;MB;
91G221801;Minor;A2128208504;MB;
91G221802;Minor;A2128208504;MB;
91G221803;Minor;A2128208504;MB;
91G221901;RBA AEJ12/1 E-CLASS;RBA E300 M272 ELE;MB;
91G224001;Minor;A2124408654;MB;
91G224101;Minor;A2124408754;MB;
91G224201;Minor;A2124402051;MB;
91G224301;Minor;A2124402151;MB;
91G224401;Minor;A2124402351;MB;
91G224501;Minor;A2124402251;MB;
91G224602;Minor;A2124404450;MB;
91G224603;Minor;A2124404450;MB;
91G224701;Minor;A2124404350;MB;
91G224702;Minor;A2124404350;MB;
91G225201;Minor;A2124401551;MB;
91G225301;Minor;A2124401751;MB;
91G225802;Minor;A2124401953;MB;
91G225902;Minor;A2124400352;MB;
91G226002;Minor;A2124400241;MB;
91G226301;Minor;A2124406353;MB;
91G226401;Minor;A2124404951;MB;
91G226501;Minor;A2124403340;MB;
91G226601;Minor;A2125400834;MB;
91G226901;Minor;A2124404755;MB;
91G227703;RBA E260 M271 ELE/AVA AMG;RBA E260 M271 ELE/AVA AMG;MB;
91G227804;RBA E300 M272 ELE/AVA AMG;RBA E300 M272 ELE/AVA AMG;MB;
91G227904;RBA E300 M272 AVA;RBA E300 M272 AVA;MB;
91G228003;RBA E400 M276 ELE MH LUX;RBA E400 M276 ELE MH LUX;MB;
91G228201;MOTOR;A2711501720;MB;
91G228301;Minor;A2124400252;MB;
91G228402;RBA E260 M271 AVA;RBA E260 M271 AVA;MB;
91G228701;RBA E400 M276 AVA AMG LUX;RBA E400 M276 AVA AMG LUX;MB;
91G232101;M274-MOTOR;A2741501686;MB;
91G300404;N3 COC;SH A900 000 53 99_4;MB;
91G301105;N3 BODY;SH A900 000 52 99_7;MB;
91G301804;N3 ROOF;SH A900 000 54 99_7;MB;
91G301903;N3 MINOR;A900 540 02 37;MB;
91G302003;N3 MINOR;A900 540 01 37;MB;
91G302103;N3 MINOR;A900 540 06 37;MB;
91G302203;N3 MINOR;A9005400537;MB;
91G302204;NCV3 MINOR;A9005400537;MB;
91G302303;N3 MINOR;A900 540 03 37;MB;
91G302502;N3 DOOR;SH A900 000 55 99_2;MB;
91G302702;N3 DOOR;SH A900 000 56 99_1;MB;
91G302903;N3 DOOR;A900 540 40 06;MB;
91G303103;N3 DOOR;A900 540 48 07;MB;
91G303203;N3 DOOR;A900 540 05 07;MB;
91G303403;N3 MINOR;A900 540 00 37;MB;
91G303503;N3 MINOR;A900 540 04 37;MB;
91G303603;N3 MINOR;A900 540 00 05;MB;
91G304301;N3 COC;SH A900 000 53 99_8;MB;
91G304302;NCV3 COC;SHA9000005399_8;MB;
91G304401;N3 COC;SH A900 000 53 99_9;MB;
91G304501;N3 COC;SH A900 000 53 99_10;MB;
91G304601;N3 COC;SH A900 000 53 99_11;MB;
91G304603;NCV3 COC;SHA9000005399_11;MB;
91G304701;N3 COC;SH A900 000 53 99_12;MB;
91G304702;NCV3 COC;SHA9000005399_12;MB;
91G304703;NCV3 COC;SH A900 000 53 99_12;MB;
91G304801;N3 COC;SH A900 000 53 99_13;MB;
91G304803;NCV3 COC;SHA9000005399_13;MB;
91G304804;NCV3 COC;SH A900 000 53 99_13;MB;
91G304901;N3 BODY;SH A900 000 52 99_12;MB;
91G305001;N3 BODY;SH A900 000 52 99_13;MB;
91G305101;N3 BODY;SH A900 000 52 99_14;MB;
91G305201;N3 BODY;SH A900 000 52 99_15;MB;
91G305301;N3 BODY;SH A900 000 52 99_16;MB;
91G305401;N3 BODY;SH A900 000 52 99_17;MB;
91G305501;N3 BODY;SH A900 000 52 99_18;MB;
91G305601;N3 BODY;SH A900 000 52 99_19;MB;
91G305701;N3 BODY;SH A900 000 52 99_20;MB;
91G305801;N3 BODY;SH A900 000 52 99_21;MB;
91G305901;N3 ROOF;SH A900 000 54 99_8;MB;
91G306001;N3 ROOF;SH A900 000 54 99_9;MB;
91G306101;N3 ROOF;SH A900 000 54 99_10;MB;
91G306201;N3 ROOF;SH A900 000 54 99_11;MB;
91G306301;N3 ROOF;SH A900 000 54 99_12;MB;
91G306302;NCV3 ROOF;SHA9000005499_12;MB;
91G306501;NCV3 COC;SHA9000005399_14;MB;
91G306801;NCV3 BODY;SHA9000005299_23;MB;
91G306802;NCV3 BODY;SHA9000005299_23;MB;
91G306803;NCV3 BODY;SHA9000005299_23;MB;
91G307001;NCV3 BODY;SHA9000005299_25;MB;
91G307002;NCV3 BODY;SHA9000005299_25;MB;
91G307003;NCV3 BODY;SHA9000005299_25;MB;
91G307101;NCV3 BODY;SHA9000005299_26;MB;
91G307102;NCV3 BODY;SHA9000005299_26;MB;
91G307201;NCV3 BODY;SHA9000005299_27;MB;
91G307202;NCV3 BODY;SHA9000005299_27;MB;
91G307501;NCV3 BODY;SHA9000005299_30;MB;
91G307502;NCV3 BODY;SHA9000005299_30;MB;
91G307601;NCV3 BODY;SHA9000005299_31;MB;
91G307602;NCV3 BODY;SHA9000005299_31;MB;
91G307801;NCV3 ROOF;SHA9000005499_15;MB;
91G307901;NCV3 ROOF;SHA9000005499_13;MB;
91G308001;NCV3 MINOR;A9000018699;MB;
91G308101;NCV3 BODY;SHA9000005299_32;MB;
91G308102;NCV3 BODY;SHA9000005299_32;MB;
91G308201;NCV3 BODY;SHA9000005299_33;MB;
91G308202;NCV3 BODY;SHA9000005299_33;MB;
91G308301;NCV3 MINOR;A9005405108;MB;
91G308501;NCV3 MINOR;A9005404308;MB;
91G308601;NCV3 BODY;SHA9000005299_34;MB;
91G308701;NCV3 BODY;SHA9000005299_35;MB;
91G308801;NCV3 BODY;SHA9000005299_36;MB;
91G308901;NCV3 BODY;SHA9000005299_37;MB;
91G309001;NCV3 BODY;SHA9000005299_38;MB;
91G309101;NCV3 BODY;SHA9000005299_39;MB;
91G309201;NCV3 BODY;SHA9000005299_40;MB;
91G309301;NCV3 BODY;SHA9000005299_41;MB;
91G309302;NCV3 BODY;SH A900 000 52 99_41;MB;
91G309401;NCV3 BODY;SHA9000005299_42;MB;
91G309501;NCV3 BODY;SHA9000005299_43;MB;
91G309601;NCV3 BODY;SHA9000005299_44;MB;
91G309701;NCV3 BODY;SHA9000005299_45;MB;
91G309702;NCV3 BODY;SH A900 000 52 99_45;MB;
91G309801;NCV3 ROOF;SHA9000005499_16;MB;
91G309901;NCV3 ROOF;SHA9000005499_17;MB;
91G309902;NCV3 ROOF;SH A900 000 54 99_17;MB;
91G310001;NCV3 ROOF;SHA9000005499_18;MB;
91G310101;NCV3 ROOF;SHA9000005499_19;MB;
91G310102;NCV3 ROOF;SH A900 000 54 99_19;MB;
91G310201;MB-N3MINOR-1-1;SH A900 540 03 00_1;MB;
91G310301;MB-N3MINOR-1-1;SH A900 540 03 00_2;MB;
91G310401;MB-N3MINOR-1-1;SH A900 001 86 99_1;MB;
91G310501;NCV3 MINOR;A9005400400;MB;
91G310901;NCV3 COC;SHA9000005399_15;MB;
91G310902;NCV3 COC;SH A900 000 53 99_15;MB;
91G404302;Minor;A2045406010;MB;
91G404402;Minor;A2045405413;MB;
91G404501;Minor;A2045407010;MB;
91G404601;Minor;A2045403232;MB;
91G404701;Minor;A2045407310;MB;
91G404801;Minor;A2045406210;MB;
91G404902;Minor;A2045405513;MB;
91G405001;Minor;A2045407610;MB;
91G405101;Minor;A2045407810;MB;
91G405201;Minor;A2044407906;MB;
91G405301;Minor;A2045405713;MB;
91G405401;Minor;A2045408010;MB;
91G405501;Minor;A2045408110;MB;
91G405603;Minor;A2045401832;MB;
91G405703;Minor;A2045402332;MB;
91G405801;Minor;A2045409210;MB;
91G405901;Minor;A2045409410;MB;
91G406001;Minor;A2045408232;MB;
91G406102;Minor;A2045400310;MB;
91G406201;Minor;A2045409610;MB;
91G406301;Minor;A2045409710;MB;
91G406401;Minor;A2045409910;MB;
91G407001;MOTOR;A2721501456;MB;
91G410302;Minor;A2044406939;MB;
91G410402;Minor;A2044407539;MB;
91G410601;Minor;A2044405813;MB;
91G410802;Minor;A2044405950;MB;
91G410903;Minor;A2044406640;MB;
91G411001;Minor;A2044406013;MB;
91G411101;Minor;A2044400051;MB;
91G411502;Minor;A2044406839;MB;
91G413301;Minor;A2045408132;MB;
91G413401;Minor;A2044406852;MB;
91G413402;Minor;A2044406852;MB;
91G413501;Minor;A2045400232;MB;
91G413901;M274-MOTOR;A2741501586;MB;
91G427301;MOTOR;A2741503456;MB;
91G427702;M274-MOTOR;A2741507156;MB;
91G427801;M274-MOTOR;A2741507556;MB;
91G904802;RBA AEJ 2011/mopf C-CLASS;91G904802;MB;
91G904902;RBA AEJ 2011/mopf C-CLASS;91G904902;MB;
91G905003;RBA AEJ 2011/mopf C-CLASS;91G905003;MB;
91G905103;RBA AEJ 2011/mopf C-CLASS;91G905103;MB;
91G905201;C-C0C;91G905201;MB;
91G905402;C-C0C;91G905402;MB;
91G905502;C-C0C;91G905502;MB;
91G905603;MRA;91G905603;MB;
91G905701;C-MRA12;ZB. EL.Ltg.Satz MotorM272KEMOT;MB;
91G905703;MRA;MRA C180 CLA C260 CGI ELE;MB;
91G905801;C-MRA12;MRA C180 CLA C260 CGI ELE;MB;
91G905803;MRA;MRA C260 CGI AVA ENT;MB;
91G905901;C-MRA12;MRA C260 CGI AVA ENT;MB;
91G905903;MRA;MRA C300;MB;
91G906401;C-COC;COC C180 CLA;MB;
91G906501;C-COC;COC C260 CGI ELE/AVA ENT;MB;
91G906601;C-COC;COC C300 AVA;MB;
91G906701;RBA AEJ 12/1 C-CLASS;RBA C180 CLA;MB;
91G906801;RBA AEJ 12/1 C-CLASS;RBA C260 CGI ELE;MB;
91G906901;RBA AEJ 12/1 C-CLASS;RBA C260 CGI AVA ENT;MB;
91G907001;RBA AEJ 12/1 C-CLASS;RBA C300 AVA;MB;
91G907101;RBA C180 CLA;RBA C180 CLA;MB;
91G907201;RBA C260 CGI ELE;RBA C260 CGI ELE;MB;
91G907301;RBA C260 CGI AVA ENT;RBA C260 CGI AVA ENT;MB;
91G907401;RBA C300 AVA;RBA C300 AVA;MB;
91G907501;C-COC;COC C180 CLA;MB;
91G907601;C-COC;COC C260 CGI ELE/AVA ENT;MB;
91G907701;C-COC;COC C300 AVA;MB;
91G907801;C-CLASS MRA;MRA C180 CLA;C260 CGI ELE;MB
91G907901;C-CLASS MRA;MRA C260 CGI AVA ENT;MB;
91G908001;C-CLASS MRA;MRA C300;MB;
91G923102;MRA;MRA E300 M272 AVA;MB;
91G923103;MRA;MRA E300 M272 AVA;MB;
91G923402;MRA;MRA E300 M272 AVA HIGH Lux;MB;
91G923403;MRA;MRA E300 M272 AVA HIGH Lux;MB;
91G923902;MRA;MRA E300 M272 ELE;MB;
91G923903;MRA;MRA E300 M272 ELE;MB;
91G924310;E-COC;COC E260 M271 AVA;MB;
91G924610;E-COC;91G924610;MB;
91G924710;E-COC;91G924710;MB;
91G924810;E-COC;91G924810;MB;
91G924901;MRA;MRA E200/E260 M271 ELE;MB;
91G924902;MRA;MRA E260 M271 ELE Entry/ELE;MB;
91G925501;E-COC;COC E260 M271 ELE Entry/ ELE;MB;
91G926801;E-COC;COC E300 M272 ELE;MB;
91G926901;E-COC;COC E300 M272 AVA;MB;
91G927001;E-COC;COC E300 M272 AVA HIGH LUX;MB;
91G927702;E-COC;COC E260 SPSE;MB;
91G928302;E-COC;COC E260 SEEX/ SPEX/SE;MB;
91G928401;E-COC;COC E300 SE/SPS EEX;MB;
91G928501;E-COC;COC E300 SPSE;MB;
91G928701;E-COC;COC E400 HYBRID SE;MB;
91G928802;E-MRA;MRA E260 M271 AVA;MB;
91G928803;MRA  E-class 13/x;MRA E260 M271 SPORT SEDAN;MB;
91G928902;E-MRA;MRA E260 M271 ELE/AVA AMG;MB;
91G928903;MRA  E-class 13/x;MRA E260SEEX/SPEX/SE;MB;
91G929002;E-MRA;MRA E300 M272 ELE/AVA AMG;MB;
91G929003;MRA  E-class 13/x;MRA E300SE/SPSEEX;MB;
91G929102;E-MRA;MRA E300 M272 AVA;MB;
91G929103;MRA  E-class 13/x;MRA E300 M272 SPORT SEDAN;MB;
91G929303;E-MRA;MRA E400 M276 ELE MH LUX;MB;
91G929304;MRA  E-class 13/x;MRA E400 M276 HYBRID SEDAN;MB;
91G929501;E-MRA;MRA E400 M276 AVA AMG LUX;MB;
91G929502;MRA  E-class 13/x;MRA E400 M276 SPORT SEDAN;MB;
91G929601;E-COC;COC E400 SPSE;MB;
91G940102;RBA AEJ 2011/01 GLK;91G940102;MB;
91G940202;RBA AEJ 2011/01 GLK;91G940202;MB;
91G940302;RBA AEJ 2011/01 GLK;91G940302;MB;
91G940401;G-COC;91G940401;MB;
91G940502;G-COC;91G940502;MB;
91G940601;MRA;91G940601;MB;
91G940701;MRA;91G940701;MB;
91G940801;RBA AEJ 2012-mopf GLK;RBA GLK300 Dynamic;MB;
91G940901;RBA AEJ 2012-mopf GLK;RBA GLK300 Style;MB;
91G941001;RBA AEJ 2012-mopf GLK;RBA GLK300 Luxury;MB;
91G941101;GLK-COC;COC GLK300 Dynamic;MB;
91G941201;GLK-COC;COC GLK300 Style;MB;
91G941301;GLK-COC;COC GLK300 Luxury;MB;
91G941401;G-MRA12;MRA GLK300 Dynamic;MB;
91G941501;G-MRA12;MRA GLK300 Style/Luxury;MB;
91G941601;RBA GLK260 Dynamic;RBA GLK260 Dynamic;MB;
91G941701;RBA GLK300 Dynamic;RBA GLK300 Dynamic;MB;
91G941801;RBA GLK300 Dynamic high;RBA GLK300 Dynamic high;MB;
91G941901;RBA GLK300 Style;RBA GLK300 Style;MB;
91G942001;RBA GLK300 Luxury;RBA GLK300 Luxury;MB;
91G942101;GLK-COC;COC GLK260 Dynamic;MB;
91G942201;GLK-COC;COC GLK300 Dynamic/high;MB;
91G942301;GLK-COC;COC GLK300 Style;MB;
91G942401;GLK-COC;COC GLK300 Luxury;MB;
91G942501;GLK MRA;MRA GLK260 Dynamic;MB;
91G942601;GLK MRA;MRA GLK300 Dynamic/high;MB;
91G942701;GLK MRA;MRA GLK300 Style/Luxury;MB;
